county,stateabbrv,avalanche,coastalflooding,coldwave,drought,earthquake,hail,heatwave,hurricane,icestorm,landslide,lightning,riverineflooding,strongwind,tornado,tsunami,volcano,wildfire,winterweather
Kingsbury,SD,Not Applicable,Not Applicable,Relatively High,Very Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Moderate,Very Low,Very Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Lake,SD,Not Applicable,Not Applicable,Relatively High,Very Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively High
Lawrence,SD,Not Applicable,Not Applicable,Relatively High,Very Low,Very Low,Relatively Moderate,No Rating,Not Applicable,Very Low,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively High,Relatively Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively High
Lincoln,SD,Not Applicable,Not Applicable,Very High,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively High,Relatively Low,Relatively Low,Relatively Moderate,Relatively High,Relatively High,Not Applicable,Not Applicable,Very Low,Very High
Lyman,SD,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Very Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
McCook,SD,Not Applicable,Not Applicable,Relatively High,Very Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very High
McPherson,SD,Not Applicable,Not Applicable,Relatively High,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate
Marshall,SD,Not Applicable,Not Applicable,Relatively High,No Rating,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Low,Very Low,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Relatively Low,Relatively High
Meade,SD,Not Applicable,Not Applicable,Relatively High,Very Low,Very Low,Relatively Moderate,Very Low,Not Applicable,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Relatively High,Relatively High
Mellette,SD,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,No Rating,Relatively Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate
Miner,SD,Not Applicable,Not Applicable,Relatively High,Very Low,Very Low,Relatively Low,Very Low,Not Applicable,Relatively Moderate,No Rating,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Minnehaha,SD,Not Applicable,Not Applicable,Very High,Very Low,Very Low,Relatively High,Relatively Moderate,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively High,Not Applicable,Not Applicable,Very Low,Very High
Moody,SD,Not Applicable,Not Applicable,Relatively High,Very Low,Very Low,Relatively Moderate,Very Low,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Oglala Lakota,SD,Not Applicable,Not Applicable,Relatively High,Very Low,Very Low,Relatively Low,No Rating,Not Applicable,Very Low,No Rating,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively High
Pennington,SD,Not Applicable,Not Applicable,Very High,Very Low,Very Low,Relatively High,No Rating,Not Applicable,Relatively High,Relatively Moderate,Relatively High,Relatively Moderate,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Relatively High,Relatively High
Perkins,SD,Not Applicable,Not Applicable,Relatively High,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate
Potter,SD,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Low,Very Low,Very Low,No Rating,Relatively Low,Very Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Roberts,SD,Not Applicable,Not Applicable,Very High,No Rating,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Relatively Low,Relatively High
Sanborn,SD,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Very Low,Relatively Moderate,Very Low,Not Applicable,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Spink,SD,Not Applicable,Not Applicable,Relatively High,Very Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Moderate,Very Low,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Relatively Low,Relatively High
Stanley,SD,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Sully,SD,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate
Todd,SD,Not Applicable,Not Applicable,Relatively High,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively High
Tripp,SD,Not Applicable,Not Applicable,Relatively High,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Not Applicable,Not Applicable,Relatively Low,Relatively High
Turner,SD,Not Applicable,Not Applicable,Relatively High,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Moderate,Very Low,Very Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively High
Union,SD,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Walworth,SD,Not Applicable,Not Applicable,Relatively High,Very Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Moderate,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively High
Yankton,SD,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Ziebach,SD,Not Applicable,Not Applicable,Relatively High,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate
Anderson,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,No Rating,Very Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Bedford,TN,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Benton,TN,Not Applicable,Not Applicable,Relatively Low,Very Low,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Bledsoe,TN,Not Applicable,Not Applicable,Relatively Low,Very Low,Very Low,Very Low,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Blount,TN,Not Applicable,Not Applicable,Very Low,Very Low,Relatively Low,Relatively Low,No Rating,Very Low,Very Low,Relatively Moderate,Relatively High,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Bradley,TN,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Relatively Low,No Rating,Very Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Campbell,TN,Not Applicable,Not Applicable,Relatively Low,Very Low,Relatively Low,Relatively Low,No Rating,Very Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate
Cannon,TN,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Carroll,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Carter,TN,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,No Rating,Very Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Cheatham,TN,Not Applicable,Not Applicable,Relatively Low,Very Low,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Chester,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Claiborne,TN,Not Applicable,Not Applicable,Relatively Low,Very Low,Relatively Low,Relatively Low,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate
Clay,TN,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Cocke,TN,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Relatively Low,Relatively Low,No Rating,Very Low,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Coffee,TN,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Relatively Low,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Crockett,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Cumberland,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,No Rating,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate
Davidson,TN,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Moderate,Relatively Moderate,Very High,Relatively High,Relatively High,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Decatur,TN,Not Applicable,Not Applicable,Very Low,Very Low,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
DeKalb,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Relatively Moderate,No Rating,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Dickson,TN,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Dyer,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Moderate,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Fayette,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Moderate,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Fentress,TN,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,No Rating,Very Low,Relatively Moderate,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Franklin,TN,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Very Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Gibson,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Moderate,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Giles,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Grainger,TN,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Greene,TN,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Very Low,No Rating,Very Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Grundy,TN,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,No Rating,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Hamblen,TN,Not Applicable,Not Applicable,Very Low,Relatively Low,Relatively Low,Very Low,No Rating,Very Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Hamilton,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Moderate,Relatively Low,No Rating,Very Low,Relatively High,Relatively High,Relatively High,Relatively Moderate,Relatively High,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively High
Hancock,TN,Not Applicable,Not Applicable,Relatively Low,Very Low,Very Low,Relatively Low,No Rating,Very Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Very Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Hardeman,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Hardin,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Hawkins,TN,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Relatively Low,Very Low,No Rating,Very Low,Relatively Low,Relatively Moderate,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Haywood,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Moderate,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Henderson,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Henry,TN,Not Applicable,Not Applicable,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Hickman,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Houston,TN,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Humphreys,TN,Not Applicable,Not Applicable,Relatively Low,Very Low,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Jackson,TN,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Relatively Low,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Jefferson,TN,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Relatively Low,No Rating,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Johnson,TN,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Very Low,No Rating,Very Low,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Very Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Knox,TN,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Moderate,Relatively Low,No Rating,Very Low,Very High,Relatively Moderate,Very High,Relatively Moderate,Relatively High,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively High
Lake,TN,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Very Low,Very Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Lauderdale,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Moderate,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Lawrence,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Lewis,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Lincoln,TN,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Very Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Loudon,TN,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Relatively Low,No Rating,Very Low,Very Low,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
McMinn,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,No Rating,Very Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
McNairy,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Macon,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Relatively Low,No Rating,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Madison,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Relatively Moderate,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively Low
Marion,TN,Not Applicable,Not Applicable,Relatively Low,Very Low,Relatively Low,Very Low,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Marshall,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Maury,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively High,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively Low
Meigs,TN,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,No Rating,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Monroe,TN,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Relatively Low,Very Low,No Rating,Very Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Montgomery,TN,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Very Low,Relatively Low,Relatively Moderate,Relatively High,Relatively Low,Relatively Moderate,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively High
Moore,TN,Not Applicable,Not Applicable,Relatively Low,Very Low,Very Low,Very Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Morgan,TN,Not Applicable,Not Applicable,Relatively Low,Very Low,Very Low,Very Low,No Rating,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Obion,TN,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Overton,TN,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,No Rating,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Perry,TN,Not Applicable,Not Applicable,Very Low,Very Low,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Pickett,TN,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,No Rating,Very Low,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Very Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Polk,TN,Not Applicable,Not Applicable,Relatively Low,Very Low,Relatively Low,Relatively Low,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Putnam,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Relatively Moderate,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively High
Rhea,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,No Rating,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Roane,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Relatively Low,No Rating,Very Low,Very Low,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Robertson,TN,Not Applicable,Not Applicable,Relatively Low,Very Low,Relatively Low,Very Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Rutherford,TN,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Very Low,Relatively High,Relatively Moderate,Relatively High,Relatively Moderate,Relatively High,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively Low
Scott,TN,Not Applicable,Not Applicable,Relatively Low,Very Low,Very Low,Very Low,No Rating,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Sequatchie,TN,Not Applicable,Not Applicable,Relatively Low,Very Low,Very Low,Very Low,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Sevier,TN,Not Applicable,Not Applicable,Relatively Low,Very Low,Relatively Low,Very Low,No Rating,Very Low,Very Low,Relatively High,Relatively High,Relatively Moderate,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Shelby,TN,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively High,Very Low,Very High,Relatively Low,Relatively High,Relatively Moderate,Relatively High,Very High,Relatively Moderate,Very High,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Smith,TN,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,No Rating,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
